AMGE|R|==,TA,TI,UA,UE,VU|DE|12/11/2016,8:24:56 PM|AGLC108086-DE-2015.pdf|Part A Long Application - DE - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TA,TI,UA,UE,VU|FL|12/11/2016,8:24:56 PM|AGLC108086-FL-2015.pdf|Part A Long Application - FL - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TA,TI,UA,UE,VU|KS,VA|10/25/2015,12:27:09 PM|ICC16-108086-KS.pdf|Part A Long Application - KS - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TA,TI,UA,UE,VU|ND,SD|12/11/2016,8:24:56 PM|AGLC108086-2015.pdf|Part A Long Application - ND,SD - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TA,TI,UA,UE,VU|VA|10/25/2015,12:27:09 PM|ICC15-108086-VA.pdf|Part A Long Application - VA - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TA,TI,UA,UE,VU|WV|10/25/2015,12:27:09 PM|ICC15-108086-WV.pdf|Part A Long Application - WV - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TU,VU|AL,AK,AZ,AR,CO,GA,HI,ID,IL,IN,IA,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|10/25/2015,12:27:09 PM|ICC15-108086-ULTRA.pdf|Part A Long Application - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TU,VU|CA|10/25/2015,12:27:09 PM|AGLC108086-CA-2015-ULTRA.pdf|Part A Long Application - CA - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TU,VU|DC|10/25/2015,12:27:09 PM|AGLC108086-DC-2015-ULTRA.pdf|Part A Long Application - DC - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TU,VU|DE|10/25/2015,12:27:09 PM|AGLC108086-DE-2015-ULTRA.pdf|Part A Long Application - DE - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TU,VU|FL|10/25/2015,12:27:09 PM|AGLC108086-FL-2015-ULTRA.pdf|Part A Long Application - FL - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TU,VU|KS|10/25/2015,12:27:09 PM|ICC16-108086-KS-ULTRA.pdf|Part A Long Application - KS - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TU,VU|ND,SD|10/25/2015,12:27:09 PM|AGLC108086-2015-ULTRA.pdf|Part A Long Application - ND,SD - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TU,VU|VA|10/25/2015,12:27:09 PM|ICC15-108086-VA-ULTRA.pdf|Part A Long Application - VA - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TU,VU|WV|10/25/2015,12:27:09 PM|ICC15-108086-WV-ULTRA.pdf|Part A Long Application - WV - Compact version|Use for an individual or multiple Insureds or individual or multiple policies
AMGE|R|==,TA,TI,UA,UE,VU|AL,AK,AZ,AR,CO,GA,HI,ID,IL,IN,IA,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|12/11/2016,8:24:56 PM|ICC15-108087.pdf|Part A Short Application - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,UA,UE,VU|CA|12/11/2016,8:24:56 PM|AGLC108087-CA-2015.pdf|Part A Short Application - CA - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,UA,UE,VU|CT|12/11/2016,8:24:56 PM|AGLC108087-CT-2015.pdf|Part A Short Application - CT - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,UA,UE,VU|DC|12/11/2016,8:24:56 PM|AGLC108087-DC-2015.pdf|Part A Short Application - DC - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,UA,UE,VU|DE|12/11/2016,8:24:56 PM|AGLC108087-DE-2015.pdf|Part A Short Application - DE - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,UA,UE,VU|FL|12/11/2016,8:24:56 PM|AGLC108087-FL-2015.pdf|Part A Short Application - FL - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,UA,UE,VU|KS|12/11/2016,8:24:56 PM|ICC16-108087-KS.pdf|Part A Short Application - KS - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,UA,UE,VU|ND,SD|12/11/2016,8:24:56 PM|AGLC108087-2015.pdf|Part A Short Application - ND,SD - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,UA,UE,VU|VA|12/11/2016,8:24:56 PM|ICC15-108087-VA.pdf|Part A Short Application - VA - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,UA,UE,VU|WV|12/11/2016,8:24:56 PM|ICC15-108087-WV.pdf|Part A Short Application - WV - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|AL,AK,AZ,AR,CO,GA,HI,ID,IL,IN,IA,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|12/11/2016,8:24:56 PM|ICC15-108087-ULTRA.pdf|Part A Short Application - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|CA|12/11/2016,8:24:56 PM|AGLC108087-CA-2015-ULTRA.pdf|Part A Short Application - CA - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|CT|12/11/2016,8:24:56 PM|AGLC108087-CT-2015-ULTRA.pdf|Part A Short Application - CT - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|DC|12/11/2016,8:24:56 PM|AGLC108087-DC-2015-ULTRA.pdf|Part A Short Application - DC - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|DE|12/11/2016,8:24:56 PM|AGLC108087-DE-2015-ULTRA.pdf|Part A Short Application - DE - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|FL|12/11/2016,8:24:56 PM|AGLC108087-FL-2015-ULTRA.pdf|Part A Short Application - FL - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|KS|12/11/2016,8:24:56 PM|ICC16-108087-KS-ULTRA.pdf|Part A Short Application - KS - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|ND,SD|12/11/2016,8:24:56 PM|AGLC108087-2015-ULTRA.pdf|Part A Short Application - ND,SD - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|VA|12/11/2016,8:24:56 PM|ICC15-108087-VA-ULTRA.pdf|Part A Short Application - VA - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TU,VU|WV|12/11/2016,8:24:56 PM|ICC15-108087-WV-ULTRA.pdf|Part A Short Application - WV - Compact version|Use for an individual Insured and individual policy
AMGE|R|==,TA,TI,TU,UA,UE,VU|AL,AK,AZ,AR,CO,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|10/25/2015,12:27:09 PM|AGLC100633.pdf|HIPAA Authorization - Life New Business  REV0415|
AMGE|R|==,TA,TI,TU,UA,UE,VU|CA|10/25/2015,12:27:09 PM|AGLC100633-CA.pdf|HIPPA Authorization - CA  REV0415|
AMGE|R|==,TA,TI,TU,UA,UE,VU|AL,AK,AZ,AR,CA,CO,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,GU,PR,VI,AS|10/25/2015,12:27:09 PM|AGLC108493-2015.pdf|Bank Draft Authorization|Must be completed, signed by the applicant and submitted with the application
AMGE|R|==,TA,TI,TU,UA,UE,VU|AL,AR,DC,IN,KS,LA,MI,MN,MS,NC,OH,OK,OR,TX,VA,WA|10/25/2015,12:27:09 PM|AGLC102084-0415.pdf|Accelerated Death Benefit Disclosure (ADB)|Required when the Terminal Illness Rider is requested on any product that has this rider available for that state.
AMGE|R|==,UE|AL,AK,AZ,AR,CO,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|05/13/2016,12:27:09 PM|ICC15-108093-0116.pdf|Index Universal LIfe Supplemental Application|Complete on any Index Universal Life products
AMGE|R|==,UE|CA,DE,DC,ND,SD|05/13/2016,12:27:09 PM|AGLC108093-2015.0116.pdf|Index Universal LIfe Supplemental Application - CA,CT,DE,DC,ND,SD|Complete on any Index Universal Life products
AMGE|R|==,UE|FL|05/13/2016,12:27:09 PM|AGLC108093-Fl-2015.0116.pdf|Index Universal LIfe Supplemental Application - FL|Complete on any Index Universal Life products
AMGE|R|==,UE|AL,AK,AZ,AR,CO,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|10/25/2015,12:27:09 PM|ICC15-107631.pdf|AG Platinum Choice VUL Supplemental Application|Complete and submit with application
AMGE|R|==,UE|CA|10/25/2015,12:27:09 PM|AGLC107631-CA-2015.pdf|AG Platinum Choice VUL Supplemental Application - CA|Complete and submit with application
AMGE|R|==,UE|DE,DC,ND,SD|10/25/2015,12:27:09 PM|AGLC107631-2015.pdf|AG Platinum Choice VUL Supplemental Application|Complete and submit with application
AMGE|R|==,UE|FL|10/25/2015,12:27:09 PM|AGLC107631-FL-2015.pdf|AG Platinum Choice VUL Supplemental Application - FL|Complete and submit with application
AMGE|R|==,TA,TI,TU,UA,UE,VU|AL,AK,AZ,AR,CO,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NC,OH,OK,OR,PA,RI,SC,TN,TX,UT,VT,VA,WA,WV,WI,WY|12/11/2016,8:24:56 PM|ICC15-108089.pdf|Addendum to Part A and Part B Application|Use with Part A or B to add additional information 
AMGE|R|==,TA,TI,TU,UA,UE,VU|CA,DE,FL,ND,SD|12/11/2016,8:24:56 PM|AGLC108089-2015.pdf|Addendum to Part A and Part B Application - CA,DE,FL,ND,SD|Use with Part A or B to add additional information 
AMGE|R|==,TA,TI,TU,UA,UE,VU|DC|12/11/2016,8:24:56 PM|AGLC108089-DC-2015.pdf|Addendum to Part A and Part B Application - DC|Use with Part A or B to add additional information 
AMGE|R|==,TA,TI,UA,DA,IA|AL|10/25/2015,3:27:17 PM|AGLC104123.pdf|Premium Receipt - AL |Required for all products in the state of Alabama, to be provided to the consumer when a premium check is collected by the producer. Do not submit to Home Office. 
AMGE|R|==,TA,TI,UA|CA|10/25/2015,7:49:54 PM|AGLC100785.pdf|Financial Products Disclosure - CA|Must be completed and submitted at the time of a sale for life and annuity products
AMGE|R|==,TA,TI,UA|CA|10/25/2015,7:49:54 PM|AGLC101232.pdf|Exempt Employee Certification - CA|
AMGE|R|==,TA,TI,TU|CA,SC|10/25/2015,7:49:54 PM|AGLC100918.pdf|Disclosure for Term Life Insurance (AGL) - CA & SC| AGL version - Required for all term products with no return of premium or cash value  
AMGE|R|==,TA,TI,TU,UA,UE,VU|ME|10/25/2015,9:45:47 PM|23034-ME.pdf|Policy Cost Summary - ME|Disclosure of policy costs for comparision 
AMGE|R|==,TA,TI,TU,UA,UE,VU|MN|10/25/2015,9:45:47 PM|AGLC108564.pdf|Owner Acknowledgement and Agent's Certification of Receipt of Application - MN |Leave a copy with the applicant
AMGE|R|==,TA,TI,UA|NM|10/25/2015,9:45:47 PM|AGLC0120.pdf|Notice of Information Practices - NM|Notice required to be given at time of application. Authorization is optional at the discretion of the applicant 
AMGE|R|==,UE|PA|10/25/2015,7:49:54 PM|AGLC105437.pdf|Agent Confirmation Form Indexed Universal Life Policies - PA - REV0415|This form confirms that the agent has provided the policy description and features to the applicant at time of application. Agents should submit one copy and retain one for their records.
AMGE|R|==,TA,TI,TU,UA,UE,VU|PA|10/25/2015,7:49:54 PM|AGLC103895.pdf|Disclosure Form - PA - REV0415|Must complete and sign at time of application
AMGE|R|==,TA,TI,UA,UE|AL,AK,CO,DE,HI,ID,IL,IN,KS,LA,MD,MN,MS,MT,NV,NM,NC,OK,RI,SC,SD,TN,WY|12/11/2016,8:24:56 PM|AGLC0335-2011.pdf|HIV Testing Consent - Generic|
AMGE|R|==,TA,TI,UA,UE|AR|12/11/2016,8:24:56 PM|AGLC0335-04.pdf|HIV Testing Consent - AR|
AMGE|R|==,TA,TI,UA,UE|AZ|12/11/2016,8:24:56 PM|AGLC0335-03.pdf|HIV Testing Consent - AZ|
AMGE|R|==,TA,TI,UA,UE|CA|12/11/2016,8:24:56 PM|AGLC0335-05.pdf|HIV Testing Consent - CA|
AMGE|R|==,TA,TI,UA,UE|CT|12/11/2016,8:24:56 PM|AGLC108669-CT.pdf|HIV Testing Consent - CT|
AMGE|R|==,TA,TI,UA,UE|DC,OH|12/11/2016,8:24:56 PM|AGLC0335-09.pdf|HIV Testing Consent - DC|
AMGE|R|==,TA,TI,UA,UE|FL|12/11/2016,8:24:56 PM|AGLC0335-10.pdf|HIV Testing Consent - FL|
AMGE|R|==,TA,TI,UA,UE|GA|12/11/2016,8:24:56 PM|AGLC0335-11.pdf|HIV Testing Consent - GA|
AMGE|R|==,TA,TI,UA,UE|IA|12/11/2016,8:24:56 PM|AGLC0335-16.pdf|HIV Testing Consent - IA|
AMGE|R|==,TA,TI,UA,UE|KY|12/11/2016,8:24:56 PM|AGLC0335-18.pdf|HIV Testing Consent - KY|
AMGE|R|==,TA,TI,UA,UE|ME|12/11/2016,8:24:56 PM|AGLC0335-20.pdf|HIV Testing Consent - ME|
AMGE|R|==,TA,TI,UA,UE|MA|12/11/2016,8:24:56 PM|AGLC0335-22.pdf|HIV Testing Consent - MA|
AMGE|R|==,TA,TI,UA,UE|MI|12/11/2016,8:24:56 PM|AGLC108669-MI_0516-FILLABLE.pdf|HIV Testing Consent - MI|
AMGE|R|==,TA,TI,UA,UE|MO|12/11/2016,8:24:56 PM|AGLC0335-26.pdf|HIV Testing Consent - MO|
AMGE|R|==,TA,TI,UA,UE|NE|12/11/2016,8:24:56 PM|AGLC108669-NE.pdf|HIV Testing Consent - NE|
AMGE|R|==,TA,TI,UA,UE|NH|12/11/2016,8:24:56 PM|AGLC0335-30.pdf|HIV Testing Consent - NH|
AMGE|R|==,TA,TI,UA,UE|NJ|12/11/2016,8:24:56 PM|AGLC108669-NJ.pdf|HIV Testing Consent - NJ|
AMGE|R|==,TA,TI,UA,UE|ND|12/11/2016,8:24:56 PM|AGLC0335-35.pdf|HIV Testing Consent - ND|
AMGE|R|==,TA,TI,UA,UE|OH|12/11/2016,8:24:56 PM|AGLC108669-OH.pdf|HIV Testing Consent - OH|
AMGE|R|==,TA,TI,UA,UE|OR|12/11/2016,8:24:56 PM|AGLC0335-38.pdf|HIV Testing Consent - OR|
AMGE|R|==,TA,TI,UA,UE|PA|12/11/2016,8:24:56 PM|AGLC0335-39.pdf|HIV Testing Consent - PA|
AMGE|R|==,TA,TI,UA,UE|TX|12/11/2016,8:24:56 PM|AGLC0335-44.pdf|HIV Testing Consent - TX|
AMGE|R|==,TA,TI,UA,UE|UT|12/11/2016,8:24:56 PM|AGLC0335-45.pdf|HIV Testing Consent - UT|
AMGE|R|==,TA,TI,UA,UE|VT|12/11/2016,8:24:56 PM|AGLC0335-46.pdf|HIV Testing Consent - VT|
AMGE|R|==,TA,TI,UA,UE|VA|12/11/2016,8:24:56 PM|AGLC0335-47.pdf|HIV Testing Consent - VA|
AMGE|R|==,TA,TI,UA,UE|WA|12/11/2016,8:24:56 PM|AGLC0335-48.pdf|HIV Testing Consent - WA|
AMGE|R|==,TA,TI,UA,UE|WV|12/11/2016,8:24:56 PM|AGLC108669-WV.pdf|HIV Testing Consent - WV|
